X_Value,Voltage_0,Voltage_1
0,2.185731,1.121512
0.001,2.208953,1.201985
0.002,2.23282,1.298874
0.003,2.257655,1.423447
0.004,2.284425,1.613363
0.005,2.308615,1.716047
0.006,2.335062,1.815512
0.007,2.362477,1.936866
0.008,2.385054,1.999313
0.009,2.407631,2.011545
0.01,2.431821,2.03279
0.011,2.454721,2.025386
0.012,2.479878,1.956501
0.013,2.49923,1.925921
0.014,2.525677,1.928496
0.015,2.549222,1.87474
0.016,2.57696,1.886972
0.017,2.598569,1.972918
0.018,2.622114,2.005429
0.019,2.646626,2.09234
0.02,2.671139,2.221097
0.021,2.693716,2.34567
0.022,2.715648,2.420993
0.023,2.739837,2.536231
0.024,2.760802,2.608979
0.025,2.786282,2.622499
0.026,2.808859,2.630546
0.027,2.832726,2.628937
0.028,2.854658,2.595782
0.029,2.879171,2.495029
0.03,2.904006,2.476359
0.031,2.92368,2.453505
0.032,3.002055,2.418096
0.033,2.966577,2.431294
0.034,2.941097,2.487304
0.035,2.900458,2.531403
0.036,2.881751,2.594172
0.037,2.854981,2.720677
0.038,2.829178,2.798253
0.039,2.804666,2.84525
0.04,2.782734,2.934093
0.041,2.759512,2.963385
0.042,2.736935,2.921217
0.043,2.715003,2.918964
0.044,2.69178,2.870036
0.045,2.667591,2.773468
0.046,2.644691,2.67529
0.047,2.620179,2.625718
0.048,2.594376,2.534622
0.049,2.574702,2.480222
0.05,2.55148,2.487947
0.051,2.527613,2.498892
0.052,2.500843,2.521102
0.053,2.480523,2.573571
0.054,2.454721,2.689453
0.055,2.425693,2.722286
0.056,2.402471,2.752866
0.057,2.379571,2.810163
0.058,2.354737,2.805335
0.059,2.329902,2.752544
0.06,2.304422,2.709411
0.061,2.2812,2.641491
0.062,2.258623,2.511446
0.063,2.229595,2.419706
0.064,2.207018,2.361765
0.065,2.182506,2.253931
0.066,2.160574,2.210475
0.067,2.134126,2.237836
0.068,2.109614,2.213694
0.069,2.087682,2.242986
0.07,2.067685,2.314768
0.071,2.040593,2.387516
0.072,2.019306,2.410693
0.073,1.994794,2.470243
0.074,1.969314,2.492132
0.075,1.945124,2.451251
0.076,1.917064,2.408439
