,0
Voltage_0_xmin,1.39970000E+01
Voltage_0_xmax,2.21930000E+01
Voltage_0_mean,-4.89845069E-03
Voltage_0_stddev,1.24800000E-03
Voltage_1_xmin,2.55770000E+01
Voltage_1_xmax,3.83630000E+01
Voltage_1_mean,-1.89977073E-02
Voltage_1_stddev,-3.44990000E-02
Voltage_2_xmin,2.55770000E+01
Voltage_2_xmax,3.83630000E+01
Voltage_2_mean,-1.00000000E+01
Voltage_2_stddev,-1.00000000E+01
Voltage_3_xmin,2.55770000E+01
Voltage_3_xmax,3.83630000E+01
Voltage_3_mean,9.99975014E+00
Voltage_3_stddev,1.00000000E+01
